ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
3,AMAZONAS,LAS CATARATAS DE GOCTA,451.57142857142856
3,AMAZONAS,MUSEO DE LEYMEBAMBA,62.285714285714285
3,AMAZONAS,SITIO ARQUEOLÓGICO DE KARAJÍA,62.57142857142857
3,AMAZONAS,SITIO ARQUEOLÓGICO REVASH,36.714285714285715
3,APURÃMAC,CONJUNTO ARQUEOLÓGICO DE SAYWITE,0.0
3,APURÃMAC,MUSEO ARQUEOLÓGICO ANTROPOLÓGICO DE APURÍMAC,0.0
3,APURÃMAC,SANTUARIO NACIONAL DE AMPAY,5.142857142857143
3,AREQUIPA,MONASTERIO DE SANTA CATALINA,5158.428571428572
3,AREQUIPA,RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA,21.142857142857142
3,AREQUIPA,RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI,10.857142857142858
3,AREQUIPA,SANTUARIO NACIONAL LAGUNAS DE MEJÍA,11.0
